date,region,language,keyword,impressions,clicks,page_load_time_sec,conversions,revenue_usd
2026-04-13,US,EN,buy gym shoes,15936,670,4.41,8,745.01
2026-06-29,APAC,ZH,ランニングシューズ 評価,17040,384,7.42,1,72.47
2026-04-03,US,EN,best marathon sneakers,1783,114,2.48,1,92.57
2026-01-15,APAC,JP,東京 マラソン 靴,10405,187,3.81,1,71.3
2026-04-17,US,EN,affordable athletic footwear,15366,456,2.26,7,506.9
2026-03-13,APAC,EN,ランニングシューズ 評価,1281,59,6.78,0,0.0
2026-01-21,APAC,ZH,耐磨网球鞋,17528,310,3.59,2,122.32
2026-04-13,US,EN,best marathon sneakers,14677,899,3.93,11,993.46
2026-05-02,US,EN,buy gym shoes,8641,446,1.8,11,769.94
2026-03-16,US,EN,running shoes online,7964,583,2.52,11,1041.44
2026-03-29,US,EN,discount sports shoes,17713,1196,1.64,21,1531.38
2026-04-27,US,EN,buy gym shoes,4512,327,0.66,12,1318.81
2026-04-10,APAC,ZH,cross-border sports sneakers,7096,269,15.92,0,0.0
2026-04-14,APAC,JP,東京 マラソン 靴,17167,475,3.44,3,267.74
2026-06-01,US,EN,discount sports shoes,7247,209,2.98,3,272.8
2026-05-11,APAC,ZH,東京 マラソン 靴,11119,346,3.04,2,125.34
2026-05-30,APAC,ZH,跑步鞋推荐2026,4093,102,2.06,1,51.08
2026-02-22,US,EN,buy gym shoes,15411,542,6.4,3,274.05
2026-01-02,US,EN,best marathon sneakers,13997,387,2.28,9,662.55
2026-03-29,US,EN,affordable athletic footwear,5817,400,0.63,14,1113.6
2026-06-07,US,EN,discount sports shoes,5552,257,1.67,6,552.65
2026-02-07,US,EN,affordable athletic footwear,19043,395,1.35,9,802.47
2026-05-10,US,EN,best marathon sneakers,17022,387,0.54,13,1304.6
2026-01-21,US,EN,buy gym shoes,7825,203,3.87,3,230.47
2026-06-10,US,EN,best marathon sneakers,9668,770,3.64,8,614.56
2026-02-27,US,EN,running shoes online,10394,359,3.29,4,399.73
2026-01-22,US,EN,running shoes online,1775,65,1.7,1,66.54
2026-03-30,APAC,ZH,耐磨网球鞋,7677,276,9.39,1,48.41
2026-02-18,US,EN,discount sports shoes,19708,486,1.37,10,920.19
2026-02-28,APAC,EN,耐磨网球鞋,5556,161,1.63,2,178.03
2026-06-19,APAC,ZH,跑步鞋推荐2026,13404,312,7.31,1,71.25
2026-01-15,US,EN,affordable athletic footwear,8904,296,0.71,12,1122.84
2026-06-24,APAC,EN,東京 マラソン 靴,18409,445,8.89,1,94.69
2026-02-20,US,EN,affordable athletic footwear,4546,206,2.05,3,258.6
2026-04-18,US,EN,affordable athletic footwear,5552,380,0.53,13,1315.75
2026-02-24,APAC,ZH,cross-border sports sneakers,12196,358,1.34,5,477.82
2026-03-05,US,EN,discount sports shoes,7191,355,1.28,12,1297.09
2026-05-11,US,EN,affordable athletic footwear,11910,567,1.08,17,1671.57
2026-02-20,APAC,JP,cross-border sports sneakers,9565,164,11.71,0,0.0
2026-05-15,US,EN,best marathon sneakers,1151,70,0.73,2,227.33
2026-01-21,APAC,ZH,耐磨网球鞋,19795,444,1.45,3,291.36
2026-03-14,APAC,ZH,跑步鞋推荐2026,3229,156,16.5,0,0.0
2026-06-16,US,EN,running shoes online,9197,330,1.19,8,598.69
2026-01-18,APAC,ZH,ランニングシューズ 評価,13998,656,1.69,6,343.61
2026-05-12,APAC,ZH,cross-border sports sneakers,8825,326,4.61,2,158.32
2026-03-30,APAC,JP,跑步鞋推荐2026,12731,509,2.05,5,394.1
2026-03-01,US,EN,discount sports shoes,15652,794,1.34,20,1900.03
2026-01-14,US,EN,affordable athletic footwear,5331,219,1.86,4,267.94
2026-01-09,US,EN,discount sports shoes,18741,1295,1.91,19,1958.45
2026-03-31,APAC,JP,耐磨网球鞋,13467,598,4.9,3,195.64
